"Recip_County","FIPS","year","total_vacc"
"Abbeville County","45001",2020,0
"Abbeville County","45001",2021,9333
"Abbeville County","45001",2022,10222
"Acadia Parish","22001",2020,0
"Acadia Parish","22001",2021,31412
"Acadia Parish","22001",2022,33539
"Accomack County","51001",2020,0
"Accomack County","51001",2021,22201
"Accomack County","51001",2022,24667
"Ada County","16001",2020,0
"Ada County","16001",2021,262733
"Ada County","16001",2022,323549
"Adair County","19001",2020,0
"Adair County","19001",2021,3405
"Adair County","19001",2022,3612
"Adair County","21001",2020,0
"Adair County","21001",2021,7141
"Adair County","21001",2022,7762
"Adair County","29001",2020,0
"Adair County","29001",2021,10970
"Adair County","29001",2022,12076
"Adair County","40001",2020,0
"Adair County","40001",2021,7426
"Adair County","40001",2022,8514
"Adams County","08001",2020,0
"Adams County","08001",2021,333240
"Adams County","08001",2022,368540
"Adams County","16003",2020,0
"Adams County","16003",2021,1737
"Adams County","16003",2022,1946
"Adams County","17001",2020,0
"Adams County","17001",2021,33371
"Adams County","17001",2022,34974
"Adams County","18001",2020,0
"Adams County","18001",2021,11406
"Adams County","18001",2022,12359
"Adams County","19003",2020,0
"Adams County","19003",2021,1950
"Adams County","19003",2022,2071
"Adams County","28001",2020,0
"Adams County","28001",2021,15783
"Adams County","28001",2022,17512
"Adams County","31001",2020,0
"Adams County","31001",2021,12636
"Adams County","31001",2022,13680
"Adams County","38001",2020,0
"Adams County","38001",2021,1053
"Adams County","38001",2022,1105
"Adams County","39001",2020,0
"Adams County","39001",2021,9276
"Adams County","39001",2022,10065
"Adams County","42001",2020,0
"Adams County","42001",2021,53589
"Adams County","42001",2022,60144
"Adams County","53001",2020,0
"Adams County","53001",2021,11094
"Adams County","53001",2022,12405
"Adams County","55001",2020,0
"Adams County","55001",2021,10978
"Adams County","55001",2022,11866
"Addison County","50001",2020,0
"Addison County","50001",2021,25234
"Addison County","50001",2022,27512
"Adjuntas Municipio","72001",2020,0
"Adjuntas Municipio","72001",2021,12241
"Adjuntas Municipio","72001",2022,13749
"Aguada Municipio","72003",2020,0
"Aguada Municipio","72003",2021,25950
"Aguada Municipio","72003",2022,29450
"Aguadilla Municipio","72005",2020,0
"Aguadilla Municipio","72005",2021,37871
"Aguadilla Municipio","72005",2022,42303
"Aguas Buenas Municipio","72007",2020,0
"Aguas Buenas Municipio","72007",2021,17341
"Aguas Buenas Municipio","72007",2022,20299
"Aibonito Municipio","72009",2020,0
"Aibonito Municipio","72009",2021,18913
"Aibonito Municipio","72009",2022,20788
"Aiken County","45003",2020,0
"Aiken County","45003",2021,76599
"Aiken County","45003",2022,83044
"Aitkin County","27001",2020,0
"Aitkin County","27001",2021,9108
"Aitkin County","27001",2022,9640
"Alachua County","12001",2020,275
"Alachua County","12001",2021,171486
"Alachua County","12001",2022,185329
"Alamance County","37001",2020,0
"Alamance County","37001",2021,94522
"Alamance County","37001",2022,110352
"Alameda County","06001",2020,0
"Alameda County","06001",2021,1297368
"Alameda County","06001",2022,1429785
"Alamosa County","08003",2020,0
"Alamosa County","08003",2021,8756
"Alamosa County","08003",2022,9459
"Albany County","36001",2020,0
"Albany County","36001",2021,219351
"Albany County","36001",2022,237032
"Albany County","56001",2020,0
"Albany County","56001",2021,20167
"Albany County","56001",2022,22739
"Albemarle County","51003",2020,0
"Albemarle County","51003",2021,68612
"Albemarle County","51003",2022,73779
"Alcona County","26001",2020,0
"Alcona County","26001",2021,5890
"Alcona County","26001",2022,6196
"Alcorn County","28003",2020,0
"Alcorn County","28003",2021,13704
"Alcorn County","28003",2022,15005
"Aleutians East Borough","02013",2020,0
"Aleutians East Borough","02013",2021,2379
"Aleutians East Borough","02013",2022,2498
"Aleutians West Census Area","02016",2020,0
"Aleutians West Census Area","02016",2021,3319
"Aleutians West Census Area","02016",2022,3617
"Alexander County","17003",2020,0
"Alexander County","17003",2021,1661
"Alexander County","17003",2022,2064
"Alexander County","37003",2020,0
"Alexander County","37003",2021,16232
"Alexander County","37003",2022,18385
"Alexandria city","51510",2020,0
"Alexandria city","51510",2021,94631
"Alexandria city","51510",2022,107196
"Alfalfa County","40003",2020,0
"Alfalfa County","40003",2021,2491
"Alfalfa County","40003",2022,2665
"Alger County","26003",2020,0
"Alger County","26003",2021,5531
"Alger County","26003",2022,5831
"Allamakee County","19005",2020,0
"Allamakee County","19005",2021,7015
"Allamakee County","19005",2022,7665
"Allegan County","26005",2020,0
"Allegan County","26005",2021,58864
"Allegan County","26005",2022,63369
"Allegany County","24001",2020,0
"Allegany County","24001",2021,37737
"Allegany County","24001",2022,40437
"Allegany County","36003",2020,0
"Allegany County","36003",2021,19389
"Allegany County","36003",2022,21158
"Alleghany County","37005",2020,0
"Alleghany County","37005",2021,6303
"Alleghany County","37005",2022,7272
"Alleghany County","51005",2020,0
"Alleghany County","51005",2021,5802
"Alleghany County","51005",2022,5918
"Allegheny County","42003",2020,0
"Allegheny County","42003",2021,810810
"Allegheny County","42003",2022,910477
"Allen County","18003",2020,0
"Allen County","18003",2021,189856
"Allen County","18003",2022,208595
"Allen County","20001",2020,0
"Allen County","20001",2021,5303
"Allen County","20001",2022,6005
"Allen County","21003",2020,0
"Allen County","21003",2021,8041
"Allen County","21003",2022,8683
"Allen County","39003",2020,0
"Allen County","39003",2021,42447
"Allen County","39003",2022,46372
"Allen Parish","22003",2020,0
"Allen Parish","22003",2021,8803
"Allen Parish","22003",2022,9537
"Allendale County","45005",2020,0
"Allendale County","45005",2021,4800
"Allendale County","45005",2022,5298
"Alpena County","26007",2020,0
"Alpena County","26007",2021,15202
"Alpena County","26007",2022,16175
"Alpine County","06003",2020,0
"Alpine County","06003",2021,0
"Alpine County","06003",2022,0
"Amador County","06005",2020,0
"Amador County","06005",2021,21005
"Amador County","06005",2022,20001
"Amelia County","51007",2020,0
"Amelia County","51007",2021,4437
"Amelia County","51007",2022,4483
"Amherst County","51009",2020,0
"Amherst County","51009",2021,14309
"Amherst County","51009",2022,15032
"Amite County","28005",2020,0
"Amite County","28005",2021,4684
"Amite County","28005",2022,5082
"Anasco Municipio","72011",2020,0
"Anasco Municipio","72011",2021,18836
"Anasco Municipio","72011",2022,20419
"Anchorage Municipality","02020",2020,0
"Anchorage Municipality","02020",2021,173625
"Anchorage Municipality","02020",2022,203950
"Anderson County","20003",2020,0
"Anderson County","20003",2021,3226
"Anderson County","20003",2022,3532
"Anderson County","21005",2020,0
"Anderson County","21005",2021,11980
"Anderson County","21005",2022,13328
"Anderson County","45007",2020,0
"Anderson County","45007",2021,78314
"Anderson County","45007",2022,84660
"Anderson County","47001",2020,0
"Anderson County","47001",2021,41259
"Anderson County","47001",2022,44228
"Anderson County","48001",2020,0
"Anderson County","48001",2021,21912
"Anderson County","48001",2022,23305
"Andrew County","29003",2020,0
"Andrew County","29003",2021,6251
"Andrew County","29003",2022,7176
"Andrews County","48003",2020,0
"Andrews County","48003",2021,7902
"Andrews County","48003",2022,8446
"Androscoggin County","23001",2020,0
"Androscoggin County","23001",2021,72404
"Androscoggin County","23001",2022,79064
"Angelina County","48005",2020,0
"Angelina County","48005",2021,38863
"Angelina County","48005",2022,41151
"Anne Arundel County","24003",2020,0
"Anne Arundel County","24003",2021,425364
"Anne Arundel County","24003",2022,466163
"Anoka County","27003",2020,0
"Anoka County","27003",2021,199294
"Anoka County","27003",2022,220452
"Anson County","37007",2020,0
"Anson County","37007",2021,10688
"Anson County","37007",2022,11882
"Antelope County","31003",2020,0
"Antelope County","31003",2021,2257
"Antelope County","31003",2022,2405
"Antrim County","26009",2020,0
"Antrim County","26009",2021,13098
"Antrim County","26009",2022,13895
"Apache County","04001",2020,0
"Apache County","04001",2021,64668
"Apache County","04001",2022,79551
"Appanoose County","19007",2020,0
"Appanoose County","19007",2021,5633
"Appanoose County","19007",2022,6057
"Appling County","13001",2020,0
"Appling County","13001",2021,3021
"Appling County","13001",2022,6784
"Appomattox County","51011",2020,0
"Appomattox County","51011",2021,5112
"Appomattox County","51011",2022,5174
"Aransas County","48007",2020,0
"Aransas County","48007",2021,12826
"Aransas County","48007",2022,13612
"Arapahoe County","08005",2020,0
"Arapahoe County","08005",2021,423869
"Arapahoe County","08005",2022,467115
"Archer County","48009",2020,0
"Archer County","48009",2021,3932
"Archer County","48009",2022,5122
"Archuleta County","08007",2020,0
"Archuleta County","08007",2021,7807
"Archuleta County","08007",2022,8366
"Arecibo Municipio","72013",2020,0
"Arecibo Municipio","72013",2021,100035
"Arecibo Municipio","72013",2022,69527
"Arenac County","26011",2020,0
"Arenac County","26011",2021,7407
"Arenac County","26011",2022,7757
"Arkansas County","05001",2020,0
"Arkansas County","05001",2021,9328
"Arkansas County","05001",2022,10194
"Arlington County","51013",2020,0
"Arlington County","51013",2021,168889
"Arlington County","51013",2022,179380
"Armstrong County","42005",2020,0
"Armstrong County","42005",2021,37013
"Armstrong County","42005",2022,40321
"Armstrong County","48011",2020,0
"Armstrong County","48011",2021,736
"Armstrong County","48011",2022,760
"Aroostook County","23003",2020,0
"Aroostook County","23003",2021,44567
"Aroostook County","23003",2022,47887
"Arroyo Municipio","72015",2020,0
"Arroyo Municipio","72015",2021,11952
"Arroyo Municipio","72015",2022,13658
"Arthur County","31005",2020,0
"Arthur County","31005",2021,85
"Arthur County","31005",2022,93
"Ascension Parish","22005",2020,0
"Ascension Parish","22005",2021,61291
"Ascension Parish","22005",2022,65942
"Ashe County","37009",2020,0
"Ashe County","37009",2021,13923
"Ashe County","37009",2022,16191
"Ashland County","39005",2020,0
"Ashland County","39005",2021,22270
"Ashland County","39005",2022,23985
"Ashland County","55003",2020,0
"Ashland County","55003",2021,10484
"Ashland County","55003",2022,11695
"Ashley County","05003",2020,0
"Ashley County","05003",2021,9389
"Ashley County","05003",2022,10137
"Ashtabula County","39007",2020,0
"Ashtabula County","39007",2021,48641
"Ashtabula County","39007",2022,53185
"Asotin County","53003",2020,0
"Asotin County","53003",2021,8973
"Asotin County","53003",2022,9934
"Assumption Parish","22007",2020,0
"Assumption Parish","22007",2021,8940
"Assumption Parish","22007",2022,9794
"Atascosa County","48013",2020,0
"Atascosa County","48013",2021,24443
"Atascosa County","48013",2022,27327
"Atchison County","20005",2020,0
"Atchison County","20005",2021,7024
"Atchison County","20005",2022,7838
"Atchison County","29005",2020,0
"Atchison County","29005",2021,2766
"Atchison County","29005",2022,2996
"Athens County","39009",2020,0
"Athens County","39009",2021,32553
"Athens County","39009",2022,33944
"Atkinson County","13003",2020,0
"Atkinson County","13003",2021,1667
"Atkinson County","13003",2022,3352
"Atlantic County","34001",2020,0
"Atlantic County","34001",2021,164484
"Atlantic County","34001",2022,185213
"Atoka County","40005",2020,0
"Atoka County","40005",2021,4687
"Atoka County","40005",2022,5180
"Attala County","28007",2020,0
"Attala County","28007",2021,9301
"Attala County","28007",2022,10187
"Audrain County","29007",2020,0
"Audrain County","29007",2021,9156
"Audrain County","29007",2022,10022
"Audubon County","19009",2020,0
"Audubon County","19009",2021,3126
"Audubon County","19009",2022,3283
"Auglaize County","39011",2020,0
"Auglaize County","39011",2021,17355
"Auglaize County","39011",2022,18338
"Augusta County","51015",2020,0
"Augusta County","51015",2021,36072
"Augusta County","51015",2022,37612
"Aurora County","46003",2020,0
"Aurora County","46003",2021,1416
"Aurora County","46003",2022,1598
"Austin County","48015",2020,0
"Austin County","48015",2021,13624
"Austin County","48015",2022,14395
"Autauga County","01001",2020,0
"Autauga County","01001",2021,21645
"Autauga County","01001",2022,25650
"Avery County","37011",2020,0
"Avery County","37011",2021,9087
"Avery County","37011",2022,10339
"Avoyelles Parish","22009",2020,0
"Avoyelles Parish","22009",2021,17550
"Avoyelles Parish","22009",2022,19707
"Baca County","08009",2020,0
"Baca County","08009",2021,1371
"Baca County","08009",2022,1453
"Bacon County","13005",2020,0
"Bacon County","13005",2021,1663
"Bacon County","13005",2022,3512
"Bailey County","48017",2020,0
"Bailey County","48017",2021,2583
"Bailey County","48017",2022,2729
"Baker County","12003",2020,0
"Baker County","12003",2021,10024
"Baker County","12003",2022,10922
"Baker County","13007",2020,0
"Baker County","13007",2021,1104
"Baker County","13007",2022,1604
"Baker County","41001",2020,0
"Baker County","41001",2021,11084
"Baker County","41001",2022,11557
"Baldwin County","01003",2020,0
"Baldwin County","01003",2021,106868
"Baldwin County","01003",2022,118645
"Baldwin County","13009",2020,0
"Baldwin County","13009",2021,7944
"Baldwin County","13009",2022,20545
"Ballard County","21007",2020,0
"Ballard County","21007",2021,2875
"Ballard County","21007",2022,3141
"Baltimore County","24005",2020,0
"Baltimore County","24005",2021,559349
"Baltimore County","24005",2022,626414
"Baltimore city","24510",2020,0
"Baltimore city","24510",2021,357748
"Baltimore city","24510",2022,401628
"Bamberg County","45009",2020,0
"Bamberg County","45009",2021,6855
"Bamberg County","45009",2022,7423
"Bandera County","48019",2020,0
"Bandera County","48019",2021,10122
"Bandera County","48019",2022,11995
"Banks County","13011",2020,0
"Banks County","13011",2021,3074
"Banks County","13011",2022,6038
"Banner County","31007",2020,0
"Banner County","31007",2021,225
"Banner County","31007",2022,250
"Bannock County","16005",2020,0
"Bannock County","16005",2021,39440
"Bannock County","16005",2022,48064
"Baraga County","26013",2020,0
"Baraga County","26013",2021,4769
"Baraga County","26013",2022,5153
"Barber County","20007",2020,0
"Barber County","20007",2021,2003
"Barber County","20007",2022,2167
"Barbour County","01005",2020,0
"Barbour County","01005",2021,10421
"Barbour County","01005",2022,11677
"Barbour County","54001",2020,0
"Barbour County","54001",2021,7768
"Barbour County","54001",2022,8489
"Barceloneta Municipio","72017",2020,0
"Barceloneta Municipio","72017",2021,16330
"Barceloneta Municipio","72017",2022,18942
"Barnes County","38003",2020,0
"Barnes County","38003",2021,5835
"Barnes County","38003",2022,6286
"Barnstable County","25001",2020,0
"Barnstable County","25001",2021,0
"Barnstable County","25001",2022,0
"Barnwell County","45011",2020,0
"Barnwell County","45011",2021,11085
"Barnwell County","45011",2022,12090
"Barranquitas Municipio","72019",2020,0
"Barranquitas Municipio","72019",2021,19817
"Barranquitas Municipio","72019",2022,23305
"Barren County","21009",2020,0
"Barren County","21009",2021,19315
"Barren County","21009",2022,21100
"Barron County","55005",2020,0
"Barron County","55005",2021,23301
"Barron County","55005",2022,24932
"Barrow County","13013",2020,0
"Barrow County","13013",2021,18412
"Barrow County","13013",2022,34557
"Barry County","26015",2020,0
"Barry County","26015",2021,28731
"Barry County","26015",2022,31205
"Barry County","29009",2020,0
"Barry County","29009",2021,15266
"Barry County","29009",2022,16504
"Bartholomew County","18005",2020,46
"Bartholomew County","18005",2021,47388
"Bartholomew County","18005",2022,53816
"Barton County","20009",2020,0
"Barton County","20009",2021,10595
"Barton County","20009",2022,11578
"Barton County","29011",2020,0
"Barton County","29011",2021,3772
"Barton County","29011",2022,4040
"Bartow County","13015",2020,0
"Bartow County","13015",2021,20290
"Bartow County","13015",2022,41405
"Bastrop County","48021",2020,0
"Bastrop County","48021",2021,48342
"Bastrop County","48021",2022,52458
"Bates County","29013",2020,0
"Bates County","29013",2021,6032
"Bates County","29013",2022,6513
"Bath County","21011",2020,0
"Bath County","21011",2021,6361
"Bath County","21011",2022,6937
"Bath County","51017",2020,0
"Bath County","51017",2021,1773
"Bath County","51017",2022,1826
"Baxter County","05005",2020,0
"Baxter County","05005",2021,19058
"Baxter County","05005",2022,20070
"Bay County","12005",2020,0
"Bay County","12005",2021,86269
"Bay County","12005",2022,96632
"Bay County","26017",2020,0
"Bay County","26017",2021,56753
"Bay County","26017",2022,60241
"Bayamon Municipio","72021",2020,0
"Bayamon Municipio","72021",2021,141699
"Bayamon Municipio","72021",2022,163037
"Bayfield County","55007",2020,0
"Bayfield County","55007",2021,11825
"Bayfield County","55007",2022,12958
"Baylor County","48023",2020,0
"Baylor County","48023",2021,1381
"Baylor County","48023",2022,1442
"Beadle County","46005",2020,0
"Beadle County","46005",2021,8641
"Beadle County","46005",2022,9731
"Bear Lake County","16007",2020,0
"Bear Lake County","16007",2021,2557
"Bear Lake County","16007",2022,2957
"Beaufort County","37013",2020,0
"Beaufort County","37013",2021,24768
"Beaufort County","37013",2022,27665
"Beaufort County","45013",2020,0
"Beaufort County","45013",2021,125322
"Beaufort County","45013",2022,138164
"Beauregard Parish","22011",2020,0
"Beauregard Parish","22011",2021,12160
"Beauregard Parish","22011",2022,13863
"Beaver County","40007",2020,0
"Beaver County","40007",2021,1577
"Beaver County","40007",2022,1767
"Beaver County","42007",2020,0
"Beaver County","42007",2021,79892
"Beaver County","42007",2022,89581
"Beaver County","49001",2020,0
"Beaver County","49001",2021,2999
"Beaver County","49001",2022,3314
"Beaverhead County","30001",2020,0
"Beaverhead County","30001",2021,4955
"Beaverhead County","30001",2022,5240
"Becker County","27005",2020,0
"Becker County","27005",2021,17964
"Becker County","27005",2022,19548
"Beckham County","40009",2020,0
"Beckham County","40009",2021,8629
"Beckham County","40009",2022,9301
"Bedford County","42009",2020,0
"Bedford County","42009",2021,17897
"Bedford County","42009",2022,19401
"Bedford County","47003",2020,0
"Bedford County","47003",2021,19975
"Bedford County","47003",2022,22216
"Bedford County","51019",2020,0
"Bedford County","51019",2021,34003
"Bedford County","51019",2022,36098
"Bee County","48025",2020,0
"Bee County","48025",2021,15501
"Bee County","48025",2022,16890
"Belknap County","33001",2020,0
"Belknap County","33001",2021,36610
"Belknap County","33001",2022,38265
"Bell County","21013",2020,0
"Bell County","21013",2021,11473
"Bell County","21013",2022,12290
"Bell County","48027",2020,0
"Bell County","48027",2021,204777
"Bell County","48027",2022,227654
"Belmont County","39013",2020,0
"Belmont County","39013",2021,31152
"Belmont County","39013",2022,33750
"Beltrami County","27007",2020,0
"Beltrami County","27007",2021,29610
"Beltrami County","27007",2022,33935
"Ben Hill County","13017",2020,0
"Ben Hill County","13017",2021,2667
"Ben Hill County","13017",2022,6647
"Benewah County","16009",2020,0
"Benewah County","16009",2021,4315
"Benewah County","16009",2022,5153
"Bennett County","46007",2020,0
"Bennett County","46007",2021,1802
"Bennett County","46007",2022,2282
"Bennington County","50003",2020,0
"Bennington County","50003",2021,14790
"Bennington County","50003",2022,16113
"Benson County","38005",2020,0
"Benson County","38005",2021,3392
"Benson County","38005",2022,3801
"Bent County","08011",2020,0
"Bent County","08011",2021,1407
"Bent County","08011",2022,1536
"Benton County","05007",2020,0
"Benton County","05007",2021,141082
"Benton County","05007",2022,161358
"Benton County","18007",2020,0
"Benton County","18007",2021,3503
"Benton County","18007",2022,3838
"Benton County","19011",2020,0
"Benton County","19011",2021,14327
"Benton County","19011",2022,15563
"Benton County","27009",2020,0
"Benton County","27009",2021,16590
"Benton County","27009",2022,18643
"Benton County","28009",2020,0
"Benton County","28009",2021,4031
"Benton County","28009",2022,4445
"Benton County","29015",2020,0
"Benton County","29015",2021,8855
"Benton County","29015",2022,9749
"Benton County","41003",2020,0
"Benton County","41003",2021,67354
"Benton County","41003",2022,72103
"Benton County","47005",2020,0
"Benton County","47005",2021,6878
"Benton County","47005",2022,7379
"Benton County","53005",2020,0
"Benton County","53005",2021,110415
"Benton County","53005",2022,120122
"Benzie County","26019",2020,0
"Benzie County","26019",2021,11571
"Benzie County","26019",2022,11415
"Bergen County","34003",2020,0
"Bergen County","34003",2021,682931
"Bergen County","34003",2022,757709
"Berkeley County","45015",2020,0
"Berkeley County","45015",2021,103699
"Berkeley County","45015",2022,124834
"Berkeley County","54003",2020,0
"Berkeley County","54003",2021,61818
"Berkeley County","54003",2022,68767
"Berks County","42011",2020,0
"Berks County","42011",2021,238013
"Berks County","42011",2022,269280
"Berkshire County","25003",2020,0
"Berkshire County","25003",2021,69816
"Berkshire County","25003",2022,79383
"Bernalillo County","35001",2020,0
"Bernalillo County","35001",2021,450999
"Bernalillo County","35001",2022,501969
"Berrien County","13019",2020,0
"Berrien County","13019",2021,3862
"Berrien County","13019",2022,6788
"Berrien County","26021",2020,0
"Berrien County","26021",2021,82049
"Berrien County","26021",2022,89439
"Bertie County","37015",2020,0
"Bertie County","37015",2021,9259
"Bertie County","37015",2022,10355
"Bethel Census Area","02050",2020,0
"Bethel Census Area","02050",2021,11824
"Bethel Census Area","02050",2022,12641
"Bexar County","48029",2020,0
"Bexar County","48029",2021,1307025
"Bexar County","48029",2022,1451432
"Bibb County","01007",2020,0
"Bibb County","01007",2021,7369
"Bibb County","01007",2022,8130
"Bibb County","13021",2020,0
"Bibb County","13021",2021,42169
"Bibb County","13021",2022,73130
"Bienville Parish","22013",2020,0
"Bienville Parish","22013",2021,6063
"Bienville Parish","22013",2022,6854
"Big Horn County","30003",2020,0
"Big Horn County","30003",2021,11090
"Big Horn County","30003",2022,12459
"Big Horn County","56003",2020,0
"Big Horn County","56003",2021,4261
"Big Horn County","56003",2022,4830
"Big Stone County","27011",2020,0
"Big Stone County","27011",2021,3033
"Big Stone County","27011",2022,3276
"Billings County","38007",2020,0
"Billings County","38007",2021,192
"Billings County","38007",2022,207
"Bingham County","16011",2020,0
"Bingham County","16011",2021,19472
"Bingham County","16011",2022,23487
"Black Hawk County","19013",2020,0
"Black Hawk County","19013",2021,75868
"Black Hawk County","19013",2022,81991
"Blackford County","18009",2020,0
"Blackford County","18009",2021,5176
"Blackford County","18009",2022,5861
"Bladen County","37017",2020,0
"Bladen County","37017",2021,15310
"Bladen County","37017",2022,21479
"Blaine County","16013",2020,0
"Blaine County","16013",2021,16280
"Blaine County","16013",2022,19676
"Blaine County","30005",2020,0
"Blaine County","30005",2021,5326
"Blaine County","30005",2022,5949
"Blaine County","31009",2020,0
"Blaine County","31009",2021,115
"Blaine County","31009",2022,125
"Blaine County","40011",2020,0
"Blaine County","40011",2021,4218
"Blaine County","40011",2022,4545
"Blair County","42013",2020,0
"Blair County","42013",2021,60844
"Blair County","42013",2022,67604
"Blanco County","48031",2020,0
"Blanco County","48031",2021,6067
"Blanco County","48031",2022,6907
"Bland County","51021",2020,0
"Bland County","51021",2021,2368
"Bland County","51021",2022,2540
"Bleckley County","13023",2020,0
"Bleckley County","13023",2021,1813
"Bleckley County","13023",2022,4833
"Bledsoe County","47007",2020,0
"Bledsoe County","47007",2021,5157
"Bledsoe County","47007",2022,5728
"Blount County","01009",2020,0
"Blount County","01009",2021,17192
"Blount County","01009",2022,18975
"Blount County","47009",2020,30
"Blount County","47009",2021,66809
"Blount County","47009",2022,71673
"Blue Earth County","27013",2020,0
"Blue Earth County","27013",2021,39389
"Blue Earth County","27013",2022,42481
"Boise County","16015",2020,0
"Boise County","16015",2021,2457
"Boise County","16015",2022,2719
"Bolivar County","28011",2020,0
"Bolivar County","28011",2021,17068
"Bolivar County","28011",2022,18691
"Bollinger County","29017",2020,0
"Bollinger County","29017",2021,3859
"Bollinger County","29017",2022,4141
"Bon Homme County","46009",2020,0
"Bon Homme County","46009",2021,3816
"Bon Homme County","46009",2022,4196
"Bond County","17005",2020,0
"Bond County","17005",2021,8521
"Bond County","17005",2022,9321
"Bonner County","16017",2020,0
"Bonner County","16017",2021,17991
"Bonner County","16017",2022,20492
"Bonneville County","16019",2020,0
"Bonneville County","16019",2021,53330
"Bonneville County","16019",2022,65964
"Boone County","05009",2020,0
"Boone County","05009",2021,13395
"Boone County","05009",2022,14859
"Boone County","17007",2020,0
"Boone County","17007",2021,30970
"Boone County","17007",2022,33716
"Boone County","18011",2020,0
"Boone County","18011",2021,46000
"Boone County","18011",2022,50470
"Boone County","19015",2020,0
"Boone County","19015",2021,16191
"Boone County","19015",2022,17416
"Boone County","21015",2020,0
"Boone County","21015",2021,79058
"Boone County","21015",2022,86439
"Boone County","29019",2020,0
"Boone County","29019",2021,105650
"Boone County","29019",2022,118140
"Boone County","31011",2020,0
"Boone County","31011",2021,2458
"Boone County","31011",2022,2614
"Boone County","54005",2020,0
"Boone County","54005",2021,9938
"Boone County","54005",2022,10434
"Borden County","48033",2020,0
"Borden County","48033",2021,217
"Borden County","48033",2022,199
"Bosque County","48035",2020,0
"Bosque County","48035",2021,8289
"Bosque County","48035",2022,8471
"Bossier Parish","22015",2020,0
"Bossier Parish","22015",2021,58746
"Bossier Parish","22015",2022,66253
"Botetourt County","51023",2020,0
"Botetourt County","51023",2021,15966
"Botetourt County","51023",2022,16934
"Bottineau County","38009",2020,0
"Bottineau County","38009",2021,2986
"Bottineau County","38009",2022,3344
"Boulder County","08013",2020,0
"Boulder County","08013",2021,247310
"Boulder County","08013",2022,268407
"Boundary County","16021",2020,0
"Boundary County","16021",2021,3886
"Boundary County","16021",2022,4452
"Bourbon County","20011",2020,0
"Bourbon County","20011",2021,5144
"Bourbon County","20011",2022,5570
"Bourbon County","21017",2020,0
"Bourbon County","21017",2021,10794
"Bourbon County","21017",2022,11907
"Bowie County","48037",2020,0
"Bowie County","48037",2021,34505
"Bowie County","48037",2022,37866
"Bowman County","38011",2020,0
"Bowman County","38011",2021,1144
"Bowman County","38011",2022,1198
"Box Butte County","31013",2020,0
"Box Butte County","31013",2021,3469
"Box Butte County","31013",2022,3823
"Box Elder County","49003",2020,0
"Box Elder County","49003",2021,27060
"Box Elder County","49003",2022,29937
"Boyd County","21019",2020,0
"Boyd County","21019",2021,22068
"Boyd County","21019",2022,23970
"Boyd County","31015",2020,0
"Boyd County","31015",2021,646
"Boyd County","31015",2022,705
"Boyle County","21021",2020,0
"Boyle County","21021",2021,16427
"Boyle County","21021",2022,17770
"Bracken County","21023",2020,0
"Bracken County","21023",2021,3749
"Bracken County","21023",2022,4047
"Bradford County","12007",2020,0
"Bradford County","12007",2021,11486
"Bradford County","12007",2022,13216
"Bradford County","42015",2020,0
"Bradford County","42015",2021,24582
"Bradford County","42015",2022,27464
"Bradley County","05011",2020,0
"Bradley County","05011",2021,5830
"Bradley County","05011",2022,6352
"Bradley County","47011",2020,0
"Bradley County","47011",2021,43119
"Bradley County","47011",2022,46581
"Branch County","26023",2020,0
"Branch County","26023",2021,18767
"Branch County","26023",2022,20225
"Brantley County","13025",2020,0
"Brantley County","13025",2021,2752
"Brantley County","13025",2022,5103
"Braxton County","54007",2020,0
"Braxton County","54007",2021,6052
"Braxton County","54007",2022,6424
"Brazoria County","48039",2020,0
"Brazoria County","48039",2021,206783
"Brazoria County","48039",2022,224085
"Brazos County","48041",2020,0
"Brazos County","48041",2021,112327
"Brazos County","48041",2022,120445
"Breathitt County","21025",2020,0
"Breathitt County","21025",2021,6266
"Breathitt County","21025",2022,6820
"Breckinridge County","21027",2020,0
"Breckinridge County","21027",2021,8491
"Breckinridge County","21027",2022,10472
"Bremer County","19017",2020,0
"Bremer County","19017",2021,14482
"Bremer County","19017",2022,15462
"Brevard County","12009",2020,62
"Brevard County","12009",2021,370726
"Brevard County","12009",2022,402395
"Brewster County","48043",2020,0
"Brewster County","48043",2021,5205
"Brewster County","48043",2022,5206
"Briscoe County","48045",2020,0
"Briscoe County","48045",2021,666
"Briscoe County","48045",2022,661
"Bristol Bay Borough","02060",2020,0
"Bristol Bay Borough","02060",2021,828
"Bristol Bay Borough","02060",2022,954
"Bristol County","25005",2020,0
"Bristol County","25005",2021,349913
"Bristol County","25005",2022,396102
"Bristol County","44001",2020,0
"Bristol County","44001",2021,36734
"Bristol County","44001",2022,40149
"Bristol city","51520",2020,0
"Bristol city","51520",2021,11039
"Bristol city","51520",2022,11874
"Broadwater County","30007",2020,0
"Broadwater County","30007",2021,1982
"Broadwater County","30007",2022,2184
"Bronx County","36005",2020,0
"Bronx County","36005",2021,965190
"Bronx County","36005",2022,1104342
"Brooke County","54009",2020,0
"Brooke County","54009",2021,10604
"Brooke County","54009",2022,11427
"Brookings County","46011",2020,0
"Brookings County","46011",2021,17341
"Brookings County","46011",2022,19146
"Brooks County","13027",2020,0
"Brooks County","13027",2021,5144
"Brooks County","13027",2022,7677
"Brooks County","48047",2020,0
"Brooks County","48047",2021,4195
"Brooks County","48047",2022,7121
"Broome County","36007",2020,0
